Study Title,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
Type 2 Diabetes Mellitus and Atherosclerosis,"Changes of isoprostanes after study drug administration., Mearuring levels of isoprostanes to understand if isoprostanes could play a crucial role in thrombus formation, independently from Aspirin mediated COX-1 inhibition, supporting their role in the phenomenon of the so call ""aspirin resistance"" in the setting of T2DM., 3 and 30 days",,
To Assess Safety of Fixed Dose Combination of Dapagliflozin and Saxagliptin in Type 2 Diabetes Mellitus Patients,"To assess the safety of fixed dose combination of dapagliflozin + saxagliptin in Indian Type 2 Diabetes Mellitus (T2D) patients, Number, frequency and percentages of incidence of adverse events (AEs) and serious adverse events (SAEs), 6 Months","To assess the efficacy of fixed dose combination of dapagliflozin + saxagliptin in Indian Type 2 Diabetes Mellitus (T2D) patients, Mean change in Glycated haemoglobin (HbA1c) from baseline to 6 months, 6 Months",
Study of Rivoglitazone in Type 2 Diabetes Mellitus,"Hemoglobin A1c at Baseline and Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Percentage of hemoglobin A1c (HbA1c) levels are reported., Baseline up to week 26 post-dose|Change in Hemoglobin A1c From Baseline Through Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Percent change in hemoglobin (HbA1c) levels are reported. Greater (negative) percent change indicates improvement., Baseline up to 26 weeks post-dose","Fasting Plasma Glucose From Baseline Through Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Normal fasting plasma glucose (FPG) levels are being reported. Normal FPG levels range from 70-110 mg/dL. Lower FPG values indicates better clinical outcome, ie. improvement in FPG., Baseline up to week 26 post-dose|Change in Fasting Plasma Glucose From Baseline Through Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, The change in normal fasting plasma glucose (FPG) levels are being reported. A greater (negative) change from baseline indicates an improvement in FPG., Baseline up to 26 weeks post-dose|Homeostasis Model Assessment Index for Insulin Resistance At Baseline To Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Homeostasis Model Assessment index for Insulin Resistance (HOMA-IR) was calculated as:

(fasting insulin concentration \[μU/mL\] x fasting glucose concentration \[mmol/L\])/22.5 Low HOMA-IR scores indicate high insulin sensitivity, whereas high HOMA-IR scores indicate low insulin sensitivity (insulin resistance). A normal HOMA-IR score is \<2.60, HOMA-IR scores 2.60-3.80 are considered ""borderline high"", and HOMA-IR scores \>3.80 are considered ""high"" and have correlations of insulin resistance. High HOMA-IR scores indicate worse outcome., Baseline up to week 26 post-dose|Change in Homeostasis Model Assessment Index for Insulin Resistance At Baseline To Week 26 Endpoint With Last Observation Carried Forward Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, The change in the Homeostasis Model Assessment index for Insulin Resistance (HOMA-IR) was calculated as:

(fasting insulin concentration \[μU/mL\] x fasting glucose concentration \[mmol/L\])/22.5 Low HOMA-IR scores indicate high insulin sensitivity, whereas high HOMA-IR scores indicate low insulin sensitivity (insulin resistance). A normal HOMA-IR score is \<2.60, HOMA-IR scores 2.60-3.80 are considered ""borderline high"", and HOMA-IR scores \>3.80 are considered ""high"" and have correlations of insulin resistance. A negative HOMA-IR score indicates an improvement in insulin sensitivity., Baseline up to 26 weeks post-dose|Total Cholesterol At Baseline To Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Total cholesterol is a measure of the total amount of cholesterol in the blood, including low-density lipoprotein cholesterol (LDL-C) - the ""bad"" cholesterol, high-density lipoprotein cholesterol (HDL-C) - the ""good"" cholesterol, and triglycerides. The equation to calculate total cholesterol is: LDL + HDL + (triglycerides/5) = total cholesterol., Baseline up to week 26 post-dose|Percent Change in Total Cholesterol From Baseline to Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Total cholesterol is a measure of the total amount of cholesterol in the blood, including low-density lipoprotein cholesterol (LDL-C) - the ""bad"" cholesterol, high-density lipoprotein cholesterol (HDL-C) - the ""good"" cholesterol, and triglycerides. The equation to calculate total cholesterol is: LDL + HDL + (triglycerides/5) = total cholesterol. Higher percent change in total cholesterol indicates better outcome, ie. improvement., Baseline up to 26 weeks post-dose|Total Triglycerides At Baseline To Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Total Triglycerides (TG) is a measure of the total amount of triglycerides in the blood. The equation to calculate total triglycerides is: (total cholesterol-Low-density Lipoprotein cholesterol (LDL- C) - High-density lipoprotein cholesterol (HDL- C)) x 5 = Total Triglycerides. Normal triglyceride levels are below 150 mg/dL., Baseline up to Week 26 post-dose|Percent Change in Total Triglycerides From Baseline to Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Total Triglycerides (TG) is a measure of the total amount of triglycerides in the blood. The equation to calculate total triglycerides is: (total cholesterol-Low-density Lipoprotein cholesterol (LDL- C) - High-density lipoprotein cholesterol (HDL- C)) x 5 = Total Triglycerides. A negative change means better outcome, ie. improvement., Baseline up to 26 weeks post-dose|Low-Density Lipoprotein Cholesterol At Baseline To Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Low-density lipoprotein cholesterol (LDL-C), ""bad"" cholesterol, is a measure of the total amount of low-density lipoprotein cholesterol in the blood. Normal LDL levels are \<100 mg/dL., Baseline up to Week 26 post-dose|Percent Change in Low-Density Lipoprotein Cholesterol From Baseline to Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Low-density lipoprotein cholesterol (LDL-C), ""bad"" cholesterol, is a measure of the total amount of low-density lipoprotein cholesterol in the blood. A higher percent change indicates improvement., Baseline up to 26 weeks post-dose|High-Density Lipoprotein Cholesterol At Baseline To Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, High-density lipoprotein cholesterol (HDL-C), ""good"" cholesterol, is a measure of the total amount of high-density lipoprotein cholesterol in the blood. Normal HDL levels are \>40 mg/dL., Baseline to Week 26 post-dose|Percent Change in High-Density Lipoprotein Cholesterol From Baseline to Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, High-density lipoprotein cholesterol (HDL-C), ""good"" cholesterol, is a measure of the total amount of high-density lipoprotein cholesterol in the blood. A higher percent change indicates improvement., Baseline to 26 weeks post-dose|Apolipoprotein A-I At Baseline To Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Apolipoprotein (Apo) A-I levels, a measure of the total amount of Apolipoprotein (Apo) A-I in the blood, are being reported. Normal Apo A-1 levels range from 120-140 mg/dL., Baseline to Week 26 post-dose|Percent Change in Apolipoprotein A-I From Baseline to Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Apolipoprotein (Apo) A-I is a measure of the total amount of Apolipoprotein (Apo) A-I in the blood. Decreased ApoA-1 levels are associated with poor clinical outcome. A lower percent change in ApoA-1 levels indicates an improvement in clinical outcome., Baseline up to 26 weeks post-dose|Apolipoprotein B At Baseline To Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Apolipoprotein (Apo) B, a measure of the total amount of Apo B in the blood, is being reported. Normal Apo B levels are \<100 mg/dL., Baseline to Week 26 post-dose|Percent Change in Apolipoprotein B From Baseline to Week 26 Endpoint With Last Observation Carried Forward (LOCF) Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Apolipoprotein (Apo) B, a measure of the total amount of Apo B in the blood, is being reported. A greater (negative) percent change in ApoB levels indicated an improvement in clinical outcome., Baseline up to 26 weeks post-dose|Hemoglobin A1c at Baseline and Week 52 Extension Period Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Percentage of hemoglobin A1c (HbA1c) levels are reported., Baseline up to Week 52 post-dose|Change in Hemoglobin A1c From Baseline Through Week 52 Extension Period Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Change in hemoglobin (HbA1c) levels are reported. Greater (negative) percent change indicates improvement., Baseline up to 52 weeks post-dose|Fasting Plasma Glucose From Baseline Through Week 52 Extension Period Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Normal fasting plasma glucose (FPG) levels are being reported. Normal FPG levels range from 70-110 mg/dL. Lower FPG values indicates better clinical outcome, ie. improvement in FPG., Baseline up to Week 52 post-dose|Change in Fasting Plasma Glucose From Baseline Through Week 52 Extension Period Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, The change in normal fasting plasma glucose (FPG) levels are being reported. A greater (negative) change from baseline indicates an improvement in FPG., Baseline up to 52 weeks post-dose|Drug-Related Treatment-Emergent Adverse Events Reported by ≥1% Participants Following Rivoglitazone or Pioglitazone Compared to Placebo as Monotherapy Treatment of Type 2 Diabetes Mellitus, Treatment-emergent adverse events (TEAEs) were defined as adverse events (AEs) that occurred on or after the first dose of double-blind study medication, and ongoing AEs that started prior to the first dose of double-blind study medication and increased in severity on or after the first dose of double-blind study medication., Week -2 up to Week 52 post-dose",
Study to Evaluate the Efficacy and Safety of KBP-042 in Patients With Type 2 Diabetes,"Change from baseline in blood HbA1c at 12 weeks versus placebo., At 12 weeks","Change from baseline in body weight at 12 weeks versus placebo., At 12 weeks|Change from baseline in fasting serum glucose at 12 weeks versus placebo, At 12 weeks|Change from baseline in fasting serum insulin at 12 weeks versus placebo, At 12 weeks|Change from baseline in fasting serum glucagon at 12 weeks versus placebo, At 12 weeks|Proportion of subjects reaching a level of HbA1c below 7.0% (53 mmol/mol) at 12 weeks versus placebo, At 12 weeks",
Safety and Efficacy of XOMA 052 in Subjects With Type 2 Diabetes Mellitus on Stable Metformin Monotherapy,"Mean change from baseline (Day 0 pre-dose) in HbA1c at Day 182, Day 0 pre-dose and Day 182","Safety assessed by pre- and post-treatment serial measurements of vital signs, clinical laboratory assessments, daily fasting blood glucose measured by the subject using a glucose monitor, and treatment-emergent adverse events., Day 0 through Day 182|Diabetic parameters: mean change from baseline (Day 0 pre-dose) at measured time points, Day 0 pre-dose through Day 182|Inflammatory markers: mean change from baseline (Day 0 pre-dose) at measured time points, Day 0 pre-dose through Day 182|Markers of cardiovascular disease: mean change from baseline (Day 0 pre-dose) at measured time points, Day 0 pre-dose through Day 182|Serum levels of XOMA 052 (select sites only), Day 28 pre-dose, Day 168 pre-dose, and Day 182",
Effectiveness of an Online Self-management Intervention for Type 2 Diabetes Mellitus,"HbA1c, The primary objective of this study is to determine whether the online intervention covivio will reduce HbA1c values in the intervention group compared to the control group., 6 months","Depressive symptoms, assessed with the total score of the Patient Health Questionnaire (PHQ-9), 6 months|Diabetes Self-management, assessed with the total mean score of the Diabetes Self-management questionnaire (DSMQ), 6 months|Body Mass Index, calculated from measurement data of patient's height in meter and weight in kilogram, 6 months|Health-Related Quality of Life, assessed with the total score of the Assessment of Quality of Life (AQoL-8D), 6 months|Proportion of patients achieving a reduction in HbA1c, A reduction of HbA1c values by at least 0.3% from baseline to T2 will be considered a significant clinical improvement in glycemic control, 6 months","Waist circumference, measured at the midpoint between the lower rib and iliac crest in centimeters, 6 months|systolic blood pressure, measured with a calibrated sphygmomanometer while the subject is sitting, 6 months"
A Clinical Study of GRC 8200 in Type 2 Diabetes Mellitus,"Change from baseline in HbA1c compared with placebo at the end of 12 week treatment period, 12 weeks","Change in HbA1c from baseline at the end of 4 and 8 weeks of treatment, 4 and 8 weeks|Fasting plasma glucose and fasting serum insulin, 12 weeks|Plasma glucose 2 hours post glucose challenge (OGTT), 12 weeks|HOMA-IR, 12 weeks|HOMA-B, 12 weeks|Change in serum lipids, 12 weeks|Body weight, 12 weeks|Waist circumference, 12 weeks",
VERIFY:A Study to Compare Combination Regimen With Vildagliptin & Metformin Versus Metformin in Treatment-naïve Patients With Type 2 Diabetes Mellitus,"Time to Initial Treatment Failure, Treatment failure was defined as two consecutive scheduled visits with HbA1c \>= 7.0% (starting from 13 weeks after randomization) and the time to treatment failure was the number of days from randomization to the second of the consecutive scheduled visits.

Participants who discontinued the study for any reason during Period 1 were censored at the date of discontinuation. Participants who remained under the threshold (or whose measurement above the threshold was not confirmed at next scheduled visit) were censored at the date of last study visit., Visit 4 (Week 13) up to End of Study (Study Drug Discontinuation or Premature Subject Discontinuation)","Rate of Loss in Glycemic Control During Period 1, The rate of loss in glycemic control was estimated using the slope of HbA1c over time (years).

HbA1c data collected from Week 26 up to and including the end of Period 1 visit was included in the analysis. Baseline HbA1c was the sample obtained on day 1, or the sample obtained at an earlier visit (scheduled or unscheduled) which was closest to Day 1, if the Day 1 measurement was missing. End of Period 1 was defined as the final post-baseline assessment obtained at any visit within Period 1 (scheduled or unscheduled), up to the last scheduled visit., Visit 5 (Week 26) to End of Period 1|Rate of Loss in Glycemic Control in HbA1c Over Time During Period 2, The rate of loss in glycemic control was estimated using the slope of HbA1c over time (years).

HbA1c data collected from 26 weeks after the start of Period 2 to the end of Period 2 were included in the analysis, for participants who started insulin therapy in Period 3 or discontinued during Period 2 due to being unable or unwilling to initiate insulin therapy in period 3. Participants who completed the study in Period 1 or Period 2 were not be included in the analysis., From 26 weeks after start of Period 2 to end of Period 2|Rate of Loss in Glycemic Control in Fasting Plasma Glucose (FPG) During Period 1, Rate of loss in glycemic control was estimated using the slope of FPG over time (years).

FPG (fasting plasma glucose) data from Week 26 to the end of Period 1 was included in the analysis. Baseline FPG was the sample obtained on day 1, or the sample obtained at an earlier visit (scheduled or unscheduled) which was closest to Day 1, if the Day 1 measurement is missing. Participants who completed the study in Period 1 or Period 2 were not be included in the analysis., Visit 5 (Week 26) to End of Period 1|Rate of Loss in Glycemic Control in Fasting Plasma Glucose (FPG) Over Time During Period 2, Rate of loss in glycemic control was estimated using the slope of FPG over time (years).

FPG (fasting plasma glucose) data from 26 weeks after the start of Period 2 to then end of Period 2 was included in the analysis. Only participants who started insulin therapy in Period 3 or discontinued during Period 2 due to being unable or unwilling to initiate insulin therapy in period 3 were included. Participants who completed the study in Period 1 or Period 2 were not be included in the analysis., From 26 weeks after start of Period 2 to end of Period 2|Rate of Loss of Beta Cell Function From Baseline to End of Study, The rate of change of beta cell function was assessed using the slope of AUC of ISR/G over time (years) where AUC of ISR/G is defined as (Area under curve of Insulin secretion rate (derived using c-peptide))/(Area under curve of Glucose), using meal-test data from 0 to 120 minutes. Baseline AUC of ISR/G was derived based on samples obtained on day 1, or samples obtained at an earlier visit (scheduled or unscheduled) which was closest to Day 1, if the Day 1 measurements were missing. Three analyses were included, using data from Week 13 to the end of Period 1, end of Period 2 and end of study, respectively., Visit 4 (Week 13), End of Period 1, End of Period 2, End of Study (Study Drug Discontinuation or Premature Subject Discontinuation)|Rate of Change in Insulin Sensitivity From Baseline to End of Study, The rate of change of insulin sensitivity is assessed using the slope of OGIS over time (years) where Oral glucose insulin sensitivity (OGIS) was calculated as a function of glucose and insulin, using meal-test data from 0 to 120 minutes. Baseline OGIS is derived based on samples obtained on day 1, or samples obtained at an earlier visit (scheduled or unscheduled) which was closest to Day 1, if the Day 1 measurements are missing. Three analyses were included, using data from Week 13 to the end of Period 1, end of Period 2 and end of study, respectively., Visit 4 (Week 13), End of Period 1, End of Period 2, End of Study (Study Drug Discontinuation or Premature Subject Discontinuation)|Percentage of Participants With Adverse Events, Serious Adverse Events and Death, Analysis of absolute and relative frequencies for treatment emergent Adverse Event (AE), Serious Adverse Event (SAE) and Deaths by primary System Organ Class (SOC) in each treatment arm to demonstrate that LAF237 is safe for the treatment of naïve patients with type 2 diabetes mellitus through the monitoring of relevant clinical and laboratory safety parameters., From first dose of study treatment until End of Study (Study Drug Discontinuation or Premature Subject Discontinuation)",
Effects of Pilates Exercises Versus Walking on Mechanical and Vascular Variables of Individuals With Type 2 Diabetes Mellitus,"Triceps surae muscle force, Triceps surae muscle force assessed by isokinetic dynamometry., 20 weeks|Blood Glycose, Blood Glycose assessed by HbA1c, 20 weeks","Triceps surae muscle architecture, Triceps surae muscle architecture assessed by ultrasound, 20 weeks|Mechanical adaptations of the Achilles tendon, Mechanical adaptations of the Achilles tendon assessed by ultrasound, 20 weeks|Endothelial function, Endothelial function assessed by ultrasound, 20 weeks",
Emotional Disorders and Outcomes in Adults With Type 2 Diabetes Mellitus at Primary Care,"Diabetes-related distress measured with Diabetes Distress Scale-17, Change in diabetes-related distress, Baseline and 3 year|Depressive symptoms measured with Patient Health Questionnaire-9, Change in depressive symptoms, Baseline and 3 year","Diabetes-related distress and depression combined, Change in both diabetes-related distress and depressive symptoms combined, Baseline and 3 year|Illness perceptions measured with Brief Illness Perception Questionnaire, Cross-sectional, an association with other variables, Through study completion|Diabetes distress measured with Problem Areas in Diabetes Scale (PAID-5), Cross-sectional, an association with other variables, Through study completion","Variability in HbA1c, Standard deviations of the HbA1c from the medical records, Baseline and 3-year|Variability in systolic blood pressure, Standard deviations of the systolic blood pressures from the medical records, Baseline and 3-year|Variability in pulse rates, Standard deviations of the pulse rates from the medical records, Baseline and 3-year|Health care utilisation/hospitalisation, Retrospective records of the number of visits to healthcare facilities and hospitalisation from the medical records, 3-year"
An Investigational Drug Study to Assess Weight Loss in Patients With Type 2 Diabetes Mellitus (0364-011)(TERMINATED),"Body weight at 36 weeks, HbA1c at 36 weeks, 36 weeks","Body weight at 24 and 52 weeks, HbA1c at 24 and 52 weeks, 24 and 52 weeks",
The Impact of Frailty in Type 2 Diabetes,"Frailty has an effect on balance in patients with type 2 diabetes., Balance assessment will be made with the Tinetti Balance, march 15, 2023 - june 10 , 2023","Frailty has an effect on the risk of falling in patients with type 2 diabetes., Fall assessment will be assessed with the Fall Risk Self-Assessment Scale, march 15, 2023 - june 10 , 2023",
Glycemic Response in Persons With Type 2 Diabetes,"Area under the blood glucose curve, Area under the blood glucose curve (AUC 0-240 minutes), Baseline, 10, 20, 30, 60, 90, 120, 150, 180, 210 and 240 minutes","Area under the insulin curves, Area under the insulin curves (AUC 0-240), Baseline, 10, 20, 30, 60, 90, 120, 150, 180, 210 and 240 minutes|Insulinogenic index, Insulinogenic index \[Change in Ins30/Change in Glu30\], Baseline, 10, 20, 30, 60, 90, 120, 150, 180, 210 and 240 minutes",
MSC and MC in Type 2 Diabetes Mellitus,"macrovascular complications, 8 years|microvascular complications, 8 years","DPN, diabetes peripheral neuropathy, 8 years|MI, myocardial infarction, 8 years|angina, angina, 8 years|stroke, stroke, 8 years|amputation, amputation, 8 years|DN, diabetes nephropathy, 8 years|DRP, diabetes retinopathy, 8 years|pro-DRP, proliferative diabetes retinopathy, 8 years|C-peptide AUC, C-peptide area under the curve, 1y|insulin AUC, insulin area under the curve, 1y|HbA1c, glycated hemoglobin, 1y|FBG, fasting hemoglucose, 1y|insuline dose, exogenous insulin requirements, 1y|fasting C-p, fasting c-peptide, 1y|The incidence and severity of adverse events related to the stem cell infusion procedure, 8y",
24-Hour Glycemia: Rosiglitazone Versus Glimepiride In Type 2 Diabetes,"Duration of Hyperglycaemia (>126 mg/dL) in Hours at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks|Episodes of Hyperglycaemia (>126 mg/dL) at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks","Duration of Severe Hyperglycaemia (>150 mg/dL) in Hours at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks|Episodes of Severe Hyperglycaemia (>150 mg/dL) at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks|Duration of Hypoglycaemia (<80 mg/dL) in Hours at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks|Episodes of Hypoglycaemia (<80 mg/dL) at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks|Duration of Hypoglycaemia (<60 mg/dL) in Hours at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks|Episodes of Hypoglycaemia (<60 mg/dL) at Baseline Compared to After 12 Weeks on Treatment, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations., Baseline and 12 weeks|HbA1c (Glycosylated Hemoglobin), Uncontrolled HbA1c\>8.5%. HbA1c and fasting blood glucose taken at hospital, Baseline and 12 weeks|8-Iso Prostaglandin F2α (8-iso PGF2α) Excretion Rate, 8-Iso Prostaglandin F2α (8-iso PGF2α) excretion rate measured during the 24 hours preceding the CGM system removal. The nocturnal glycemia measured by CGM system will be defined as the average of glycemic values collected between midnight and breakfast time., Baseline and 12 weeks|Glycaemia According to CGMS (Nocturnal), mg/dL, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations.The nocturnal glycemia measured by CGM system will be defined as the average of glycemic values collected between midnight and breakfast time., Baseline and 12 weeks|Glycaemia According to CGMS (Diurnal), mg/dL, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations.The diurnal glycemia measured by CGM system will be the average of glycemic values recorded between breakfast time and midnight., Baseline and 12 weeks|Glycaemia According to CGMS (Dawn), mg/dL, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations.The glycemia ""at dawn"" measured by CGM system will be defined as the average of glycemic values recorded between 4 AM and breakfast time., Baseline and 12 weeks|Glycaemia According to CGMS (Total Area Under the Curve (AUC) for Values Above 1 mg/dL), mg/dL, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations. The concentrations of glucose will be assessed from the AUC calculations on glycaemic values measured by CGM system., Baseline and 12 weeks|Glycaemia According to CGMS (Postprandial Incremental AUC or Values Above 1 mg/dL), mg/dL, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations. The concentrations of glucose will be assessed from the AUC calculations on glycaemic values measured by CGM system., Baseline and 12 weeks|Glycaemia According to CGMS (Basal Incremental AUC or Values Above 1 mg/dL), mg/dL, Continuous Glycemic Monitoring System, Medtronic (CGMS®) System Gold downloads data to a computer for evaluation of glucose variations. The concentrations of glucose will be assessed from the AUC calculations on glycaemic values measured by CGM system., Baseline and 12 weeks|Glycaemia According to CGMS (MAGE), mg/dL, Calculation of the Mean amplitude of glycemic excursion (MAGE) was obtained by measuring the arithmetic mean of the major glucose concentration increases or decreases on days 2 and 3 of glycaemic profile and then averaging results on the two days., Baseline and 12 weeks",
Study of AC-201 in Patients With Type 2 Diabetes Mellitus,"Change in HbA1c From Baseline, For efficacy analyses, the primary analysis was at Week 24 Endpoint, defined as the last valid post-baseline measurement taken at or before Week 24. Efficacy results for treatment groups were considered statistically significant if change from baseline relative to placebo had p\<0.05., 24 weeks",,
Study of KD026 in Combination With Metformin in Subjects With Type 2 Diabetes Mellitus,"Number of Subjects Experiencing Adverse Events as a Measure of Safety, Tolerability, and Efficacy, To assess the safety, tolerability, and efficacy (as measured by a 0.5%-1.5% decrease of HbA1c) of different dosages and dosing regimens of a combination of KD026 and metformin compared to placebo and metformin when administered for 3 months to subjects with type 2 diabetes mellitus, 12 Weeks","Changes in Fasting Plasma Glucose (FPG), To assess changes in fasting plasma glucose from baseline to Week 12, 12 Weeks|Changes in Insulin, To assess changes in insulin from baseline to Week 12, 12 Weeks|Changes in HOMA-IR, To assess changes in Homeostasis Model Assessment - Insulin Resistance (HOMA-IR) from baseline to Week 12, 12 Weeks|Changes in Body Weight, To assess changes in body weight, 12 Weeks|Changes in AUC, To assess the 6-hour time curve (AUC) for post prandial triglycerides and glucose., 12 Weeks|Changes in Lipids, To assess changes in total cholesterol, LDL-C, HDL-C, non-HDL-C, VLDL-C, and triglyceride levels, 12 Weeks|Changes in Blood Pressure, To assess changes, if any, in baseline blood pressure associated with metabolic syndrome, 12 Weeks|Changes in Waist Circumference, To assess changes, if any, in baseline waist circumference associated with metabolic syndrome, 12 Weeks|Changes in Body Mass Index (BMI), To assess changes, if any, in baseline measures of BMI associated with metabolic syndrome, 12 Weeks|Changes in Plasma Levels of KD026, To assess plasma levels of KD026 in all subjects, 12 Weeks|Changes in Serum Levels of Non-Esterified Free Fatty Acids, To assess the change in serum levels of non-esterified free fatty acids from baseline to Week 12, 12 Weeks",
The Effect of a Diabetes Self-management Coaching Program for Type 2 Diabetes Patients in the Ethiopian PC.,"Acceptability of the DSM Coaching program, Acceptability measures the reaction of individual recipients-both study subjects and interventionists to the intervention(Bowen et al., 2009). It will be measured using a validated scale (B. J. Weiner et al., 2017). Mean scores will be used to categorize responses into acceptable and non-acceptable., up to 1 year","Diabetes self-efficacy, Diabetes self-efficacy will be measured using Stanford Self-Management Resource Center (SMRC) diabetes self-efficacy scale (SMRC, 2021). Mean scores will be computed to decide changes in values., up to 1 year|Diabetes self-care practice, The diabetes self-care practice will be measured using the Summary of Diabetes Self-Care Activity (SDSCA)(Toobert et al., 2000). Mean scores will be computed to decide changes in values., up to 1 year|Glycated Hemoglobin A1c (HbA1c), HbA1c will be analyzed from a sample of whole blood using a chemistry machine at the University of Gondar hospital laboratory department. HbA1c \< 7.0% is considered as the good glycemic control and HbA1c ≥ 7.0% will be considered as poorly controlled glucose level(Abera et al., 2022)., up to 1 year",
